Word,Count
*,98
-->,88
,63
Copyright,46
Bootstrap,46
2011-2018,46
The,24
Authors,23
\Twitter,\,23
Licensed,23
under,23
v4.1.1,23
MIT,23
Inc,23
(https://github.com/twbs/bootstrap/blob/master/LICENSE),23
(https://getbootstrap.com/),23
image,3
Owl,2
the,2
Carousel,2
CSS,2
overflow:,1
on,1
sourceMappingURL=bootstrap.min.css.map,1
Magnific,1
Keyframes,1
icon,1
Remove,1
backSlide,1
empty,1
around,1
paddings,1
Core,1
behind,1
fonts.googleapis.com/css?family=Questrial|Roboto|Staatliches');,1
fade,1
Main,1
visible,1
screen,1
clearfix,1
Popup,1
fix,1
goDown,1
#,1
Transitions,1
none,1
in,1
init,1
popup,1
display,1
all,1
File,1
small,1
shadow,1
v1.3.3,1
grab,1
scaleUp,1
CSS3,1
until,1
v1.3.2,1
mouse,1
