File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Drives\OneDrive\GitHub\VanHuisDier\emergency.html,163,162,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\emergencyButtons.html,178,177,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\Found1.html,206,205,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\gevonden-fl-exotisch.html,180,176,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\gevonden-fl-hond.html,196,192,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\gevonden-fl-kat.html,198,194,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\gevonden-fl-kvee.html,180,176,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\gevonden-fl-vogels.html,185,181,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\gevonden.html,251,247,2,0,3,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\index.html,129,128,4,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\index2.html,112,111,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\info.html,128,127,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\Missing2.html,199,198,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\Success1.html,107,106,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verloren-fl-hond.html,154,152,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verloren-fl-kat.html,137,135,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verloren-fl-knaagdier.html,132,130,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verloren-fl-vee.html,137,135,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verloren-fl-vogels.html,137,135,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verloren.html,203,201,1,0,1,0,1,1,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\style.css,504,435,361,0,69,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\style1.css,421,371,317,0,50,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap\css\bootstrap.css,9953,8186,5466,0,1759,0,8,25,6,22
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap\css\bootstrap.min.css,7,1,1824,0,0,1,6,25,5,22
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap\css\_pgbackup\bootstrap_1552568713.css,9954,8188,5467,0,1760,0,6,22,6,22
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap\css\_pgbackup\bootstrap_1552853583.css,9954,8188,5467,0,1760,0,6,22,6,22
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap\css\_pgbackup\bootstrap_1552862611.css,9949,8184,5464,0,1759,0,6,22,6,22
D:\Drives\OneDrive\GitHub\VanHuisDier\bootstrap\css\_pgbackup\bootstrap_1552932849.css,9952,8187,5467,0,1759,0,6,22,6,22
D:\Drives\OneDrive\GitHub\VanHuisDier\css\fakeLoader.min.css,1,1,92,0,0,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\css\plugins.css,902,745,559,0,133,0,24,68,5,11
D:\Drives\OneDrive\GitHub\VanHuisDier\gevondendieren\00001.html,126,125,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\gevondendieren\Mine00001.html,103,102,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verlorendieren\00001.html,132,131,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\verlorendieren\Found00001.html,104,103,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553170461.html,90,89,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553171517.html,222,221,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553174320.html,172,171,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553176380.html,190,189,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553283934.html,190,189,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553435849.html,190,189,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553439933.html,183,182,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553440025.html,183,182,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553440032.html,183,182,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553705137.html,183,182,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553705761.html,179,178,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553707975.html,179,178,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553709941.html,179,178,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553712862.html,179,178,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553713555.html,179,178,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553726732.html,179,178,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553733738.html,178,177,0,0,1,0,0,0,0,0
D:\Drives\OneDrive\GitHub\VanHuisDier\_pgbackup\emergency_1553734525.html,178,177,0,0,1,0,0,0,0,0
